"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"monthly","66","14","14","14","14","14","13","13","12","12","11","10","9","8","7","7","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","67","14","14","14","14","13","13","13","12","11","11","10","9","8","7","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","68","14","14","14","13","13","13","12","12","11","11","9","8","8","7","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","69","13","13","13","13","13","12","12","11","11","10","9","8","8","7","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","70","13","13","13","13","12","12","12","11","11","10","9","8","7","7","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","71","12","12","12","12","12","12","11","11","10","10","9","8","7","7","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","72","12","12","12","12","12","11","11","11","10","10","9","8","7","6","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","73","12","12","12","12","11","11","11","10","10","9","8","8","7","6","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","74","11","11","11","11","11","11","10","10","10","9","8","7","7","6","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","75","11","11","11","11","11","10","10","10","9","9","8","7","7","6","6","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","76","11","11","11","11","10","10","10","10","9","9","8","7","6","6","5","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","77","10","10","10","10","10","10","10","9","9","9","8","7","6","6","5","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","78","10","10","10","10","10","10","9","9","9","8","8","7","6","6","5","4","2","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","79","10","10","10","10","10","9","9","9","9","8","8","7","6","6","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","80","10","10","10","10","9","9","9","9","8","8","7","7","6","6","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"monthly","81","9","9","9","9","9","9","9","9","8","8","7","6","6","5","5","4","3","2","1","1","1","1","1","1","1","0","0","0","0","0"
"monthly","82","9","9","9","9","9","9","9","8","8","8","7","6","6","5","5","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","83","9","9","9","9","9","9","8","8","8","8","7","6","6","5","5","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","84","9","9","9","9","8","8","8","8","8","7","7","6","6","5","5","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","85","8","8","8","8","8","8","8","8","8","7","7","6","5","5","5","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
